test_Tre.        test_AddUnit     DEBUG		
test_Tre.        test_AddUnit     DEBUG		
test_Tre.        test_AddUnit     DEBUG		starting test_AddUnit
    Tree.             getNode     DEBUG		position is: [1]
    Tree.             getNode     DEBUG		position is: [1]
    Tree.             getNode     DEBUG		position is: [1]
    Tree.             getNode     DEBUG		position is: [1]
    Tree.             getNode     DEBUG		position is: [1, 1]
    Tree.             getNode     DEBUG		current: <Element a at 1625540>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		position is: [1, 1]
    Tree.             getNode     DEBUG		current: <Element a at 167a6c0>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		position is: [1, 2]
    Tree.             getNode     DEBUG		current: <Element a at 1625540>
    Tree.             getNode     DEBUG		index: 2
    Tree.             getNode     DEBUG		position is: [1, 2]
    Tree.             getNode     DEBUG		current: <Element a at 167a6c0>
    Tree.             getNode     DEBUG		index: 2
    Tree.             getNode     DEBUG		position is: [1, 2, 1]
    Tree.             getNode     DEBUG		current: <Element a at 1625540>
    Tree.             getNode     DEBUG		index: 2
    Tree.             getNode     DEBUG		current: <Element b at 1625600>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		position is: [1, 2, 1]
    Tree.             getNode     DEBUG		current: <Element a at 167a6c0>
    Tree.             getNode     DEBUG		index: 2
    Tree.             getNode     DEBUG		current: <Element b at 1625660>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		position is: [1, 2, 1, 1]
    Tree.             getNode     DEBUG		current: <Element a at 1625540>
    Tree.             getNode     DEBUG		index: 2
    Tree.             getNode     DEBUG		current: <Element b at 1625660>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		current: <Element c at 16256c0>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		position is: [1, 2, 1, 1]
    Tree.             getNode     DEBUG		current: <Element a at 167a6c0>
    Tree.             getNode     DEBUG		index: 2
    Tree.             getNode     DEBUG		current: <Element b at 1625690>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		current: <Element c at 1625600>
    Tree.             getNode     DEBUG		index: 1
    Tree.             getNode     DEBUG		position is: [1, 2, 2]
    Tree.             getNode     DEBUG		current: <Element a at 1625540>
    Tree.             getNode     DEBUG		index: 2
